author,month,rank,review,title,year
by Sheryl Sandberg with Nell Scovell,11.0,1.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2013.0
by Malcolm Gladwell,11.0,2.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2013.0
by Peter Schweizer,11.0,3.0,,EXTORTION,2013.0
by Brad Stone,11.0,4.0,https://www.nytimes.com/2013/10/29/books/the-everything-store-jeff-bezos-and-the-age-of-amazon.html,EVERYTHING STORE,2013.0
by Daniel Goleman,11.0,5.0,,FOCUS,2013.0
by Mark Murphy,11.0,6.0,,HUNDRED PERCENTERS,2013.0
by Linda Meadow,11.0,7.0,,DO YOU SPEAK SHOE LOVER?,2013.0
by Craig T. Bouchard and James V. Koch,11.0,8.0,,CATERPILLAR WAY,2013.0
by Daniel Kahneman,11.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2013.0
by Walter Isaacson,11.0,10.0,https://www.nytimes.com/2011/10/22/books/steve-jobs-by-walter-isaacson-review.html,STEVE JOBS,2013.0
by Sheryl Sandberg with Nell Scovell,12.0,1.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2013.0
by Malcolm Gladwell,12.0,2.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2013.0
by Bob Rosen,12.0,3.0,,GROUNDED,2013.0
by Randi Zuckerberg,12.0,4.0,,DOT COMPLICATED,2013.0
by Brad Stone,12.0,5.0,https://www.nytimes.com/2013/10/29/books/the-everything-store-jeff-bezos-and-the-age-of-amazon.html,EVERYTHING STORE,2013.0
by Daniel Kahneman,12.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2013.0
by Peter Schweizer,12.0,7.0,,EXTORTION,2013.0
by Willie and Korie Robertson with Mark Schlabach,12.0,8.0,,DUCK COMMANDERS,2013.0
by Nick Bilton,12.0,9.0,,HATCHING TWITTER,2013.0
by Malcolm Gladwell,12.0,10.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2013.0
by Sheryl Sandberg with Nell Scovell,1.0,1.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Malcolm Gladwell,1.0,2.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Jordan Belfort,1.0,3.0,,THE WOLF OF WALL STREET,2014.0
by Daniel Kahneman,1.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Gary Vaynerchuk,1.0,5.0,,"JAB, JAB, JAB, RIGHT HOOK",2014.0
by Charles Duhigg,1.0,6.0,,THE POWER OF HABIT,2014.0
by Malcolm Gladwell,1.0,7.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2014.0
by Willie and Korie Robertson with Mark Schlabach,1.0,8.0,,DUCK COMMANDERS,2014.0
by Walter Isaacson,1.0,9.0,https://www.nytimes.com/2011/10/22/books/steve-jobs-by-walter-isaacson-review.html,STEVE JOBS,2014.0
by Brad Stone,1.0,10.0,https://www.nytimes.com/2013/10/29/books/the-everything-store-jeff-bezos-and-the-age-of-amazon.html,EVERYTHING STORE,2014.0
by Jordan Belfort,2.0,1.0,,THE WOLF OF WALL STREET,2014.0
by James J. Cramer,2.0,2.0,,JIM CRAMER'S GET RICH CAREFULLY,2014.0
by Sheryl Sandberg with Nell Scovell,2.0,3.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Daniel Kahneman,2.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Malcolm Gladwell,2.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Charles Duhigg,2.0,6.0,,THE POWER OF HABIT,2014.0
by Alexa Von Tobel,2.0,7.0,,FINANCIALLY FEARLESS,2014.0
by Alan C. Fox,2.0,8.0,,PEOPLE TOOLS,2014.0
by Alison Levine,2.0,9.0,,ON THE EDGE,2014.0
by Malcolm Gladwell,2.0,10.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2014.0
by Sheryl Sandberg with Nell Scovell,3.0,1.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Jordan Belfort,3.0,2.0,,THE WOLF OF WALL STREET,2014.0
by Malcolm Gladwell,3.0,3.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Daniel Kahneman,3.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Charles Duhigg,3.0,5.0,,THE POWER OF HABIT,2014.0
by James J. Cramer,3.0,6.0,,JIM CRAMER'S GET RICH CAREFULLY,2014.0
by Amy Chua and Jed Rubenfeld,3.0,7.0,,TRIPLE PACKAGE,2014.0
by Steve McClatchy,3.0,8.0,,DECIDE,2014.0
by Leerom Segal and others,3.0,9.0,,DECODED COMPANY,2014.0
by Erik Brynjolfsson and Andrew McAfee,3.0,10.0,,THE SECOND MACHINE AGE,2014.0
by Sheryl Sandberg with Nell Scovell,4.0,1.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Arianna Huffington,4.0,2.0,,THRIVE,2014.0
by Daniel Kahneman,4.0,3.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Russell Simmons with Chris Morrow,4.0,4.0,,SUCCESS THROUGH STILLNESS,2014.0
by Jordan Belfort,4.0,5.0,,THE WOLF OF WALL STREET,2014.0
by Charles Duhigg,4.0,6.0,,THE POWER OF HABIT,2014.0
by Malcolm Gladwell,4.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Ben Horowitz,4.0,8.0,,THE HARD THING ABOUT HARD THINGS,2014.0
by Adam Braun with Carlye Adler,4.0,9.0,,THE PROMISE OF A PENCIL,2014.0
by Brigid Schulte,4.0,10.0,,OVERWHELMED,2014.0
by Michael Lewis,5.0,1.0,,FLASH BOYS,2014.0
by Arianna Huffington,5.0,2.0,,THRIVE,2014.0
by Dave Ramsey and Rachel Cruze,5.0,3.0,,SMART MONEY SMART KIDS,2014.0
by Thomas Piketty,5.0,4.0,,CAPITAL IN THE TWENTY-FIRST CENTURY,2014.0
by Sheryl Sandberg with Nell Scovell,5.0,5.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Daniel Kahneman,5.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Ed Catmull with Amy Wallace,5.0,7.0,,"CREATIVITY, INC",2014.0
by Katty Kay and Claire Shipman,5.0,8.0,,CONFIDENCE CODE,2014.0
by Malcolm Gladwell,5.0,9.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Charles Duhigg,5.0,10.0,,THE POWER OF HABIT,2014.0
by Thomas Piketty,6.0,1.0,,CAPITAL IN THE TWENTY-FIRST CENTURY,2014.0
by Michael Lewis,6.0,2.0,,FLASH BOYS,2014.0
by Steven D. Levitt and Stephen J. Dubner,6.0,3.0,,THINK LIKE A FREAK,2014.0
by Timothy F. Geithner,6.0,4.0,,STRESS TEST,2014.0
by Sophia Amoruso,6.0,5.0,,#GIRLBOSS,2014.0
by Sheryl Sandberg with Nell Scovell,6.0,6.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Arianna Huffington,6.0,7.0,,THRIVE,2014.0
by Dave Ramsey and Rachel Cruze,6.0,8.0,,SMART MONEY SMART KIDS,2014.0
by Malcolm Gladwell,6.0,9.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Daniel Kahneman,6.0,10.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Thomas Piketty,7.0,1.0,,CAPITAL IN THE TWENTY-FIRST CENTURY,2014.0
by Steven D. Levitt and Stephen J. Dubner,7.0,2.0,,THINK LIKE A FREAK,2014.0
by Michael Lewis,7.0,3.0,,FLASH BOYS,2014.0
by Malcolm Gladwell,7.0,4.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Sheryl Sandberg with Nell Scovell,7.0,5.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2014.0
by Sophia Amoruso,7.0,6.0,,#GIRLBOSS,2014.0
by Daniel Kahneman,7.0,7.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2014.0
by Timothy F. Geithner,7.0,8.0,,STRESS TEST,2014.0
by Charles Duhigg,7.0,9.0,,THE POWER OF HABIT,2014.0
by Arianna Huffington,7.0,10.0,,THRIVE,2014.0
by Malcolm Gladwell,8.0,1.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2014.0
by Jeff Walker,8.0,2.0,,LAUNCH,2014.0
by John Brooks,8.0,3.0,,BUSINESS ADVENTURES,2014.0
